section	object_name	relkind	comment
candidate_column	business.vw_aicm_pmlw_president_policy_display	4	company_name	text	YES
candidate_column	business.vw_aicm_pmlw_president_policy_display	5	source_route_code	text	YES
candidate_column	business.vw_aicm_pmlw_president_policy_display	6	policy_title	text	YES
candidate_column	business.vw_aicm_pmlw_president_policy_display	7	policy_text	text	YES
candidate_column	business.vw_aicm_pmlw_president_policy_display	8	president_robot_label	text	YES
candidate_column	business.vw_aicm_pmlw_president_policy_display	9	requested_by_text	text	YES
candidate_column	business.vw_aicm_pmlw_worker_work_unit_display	1	aicm_worker_work_unit_id	uuid	YES
candidate_column	business.vw_aicm_pmlw_worker_work_unit_display	10	deliverable_name	text	YES
candidate_column	business.vw_aicm_pmlw_worker_work_unit_display	11	deliverable_type_code	text	YES
candidate_column	business.vw_aicm_pmlw_worker_work_unit_display	12	work_unit_name	text	YES
candidate_column	business.vw_aicm_pmlw_worker_work_unit_display	13	work_unit_description	text	YES
candidate_column	business.vw_aicm_pmlw_worker_work_unit_display	14	work_type_code	text	YES
candidate_column	business.vw_aicm_pmlw_worker_work_unit_display	15	assigned_worker_label	text	YES
candidate_column	business.vw_aicm_pmlw_worker_work_unit_display	16	worker_model_code	text	YES
candidate_column	business.vw_aicm_pmlw_worker_work_unit_display	17	work_status_code	text	YES
candidate_column	business.vw_aicm_pmlw_worker_work_unit_display	18	review_status_code	text	YES
candidate_column	business.vw_aicm_pmlw_worker_work_unit_display	19	priority_code	text	YES
candidate_column	business.vw_aicm_pmlw_worker_work_unit_display	2	owner_civilization_id	uuid	YES
candidate_column	business.vw_aicm_pmlw_worker_work_unit_display	20	due_date	date	YES
candidate_column	business.vw_aicm_pmlw_worker_work_unit_display	21	input_context_text	text	YES
candidate_column	business.vw_aicm_pmlw_worker_work_unit_display	22	expected_output_text	text	YES
candidate_column	business.vw_aicm_pmlw_worker_work_unit_display	23	result_summary_text	text	YES
candidate_column	business.vw_aicm_pmlw_worker_work_unit_display	24	handoff_link	text	YES
candidate_column	business.vw_aicm_pmlw_worker_work_unit_display	25	reference_files_text	text	YES
candidate_column	business.vw_aicm_pmlw_worker_work_unit_display	26	supplemental_materials_text	text	YES
candidate_column	business.vw_aicm_pmlw_worker_work_unit_display	27	applicable_rules_text	text	YES
candidate_column	business.vw_aicm_pmlw_worker_work_unit_display	28	note	text	YES
candidate_column	business.vw_aicm_pmlw_worker_work_unit_display	29	display_order	integer	YES
candidate_column	business.vw_aicm_pmlw_worker_work_unit_display	3	aicm_user_company_id	uuid	YES
candidate_column	business.vw_aicm_pmlw_worker_work_unit_display	30	metadata_jsonb	jsonb	YES
candidate_column	business.vw_aicm_pmlw_worker_work_unit_display	31	created_at	timestamp with time zone	YES
candidate_column	business.vw_aicm_pmlw_worker_work_unit_display	32	updated_at	timestamp with time zone	YES
candidate_column	business.vw_aicm_pmlw_worker_work_unit_display	4	company_name	text	YES
candidate_column	business.vw_aicm_pmlw_worker_work_unit_display	5	aicm_leader_middle_work_item_id	uuid	YES
candidate_column	business.vw_aicm_pmlw_worker_work_unit_display	6	middle_item_name	text	YES
candidate_column	business.vw_aicm_pmlw_worker_work_unit_display	7	aicm_manager_major_work_item_id	uuid	YES
candidate_column	business.vw_aicm_pmlw_worker_work_unit_display	8	major_item_name	text	YES
candidate_column	business.vw_aicm_pmlw_worker_work_unit_display	9	aicm_leader_deliverable_requirement_id	uuid	YES
candidate_column	business.vw_aicm_pmlw_workflow_tree	1	owner_civilization_id	uuid	YES
candidate_column	business.vw_aicm_pmlw_workflow_tree	10	manager_handoff_status_code	text	YES
candidate_column	business.vw_aicm_pmlw_workflow_tree	11	department_name	text	YES
candidate_column	business.vw_aicm_pmlw_workflow_tree	12	section_name	text	YES
candidate_column	business.vw_aicm_pmlw_workflow_tree	13	aicm_leader_middle_work_item_id	uuid	YES
candidate_column	business.vw_aicm_pmlw_workflow_tree	14	middle_item_name	text	YES
candidate_column	business.vw_aicm_pmlw_workflow_tree	15	leader_breakdown_status_code	text	YES
candidate_column	business.vw_aicm_pmlw_workflow_tree	16	leader_handoff_status_code	text	YES
candidate_column	business.vw_aicm_pmlw_workflow_tree	17	aicm_leader_deliverable_requirement_id	uuid	YES
candidate_column	business.vw_aicm_pmlw_workflow_tree	18	deliverable_name	text	YES
candidate_column	business.vw_aicm_pmlw_workflow_tree	19	deliverable_type_code	text	YES
candidate_column	business.vw_aicm_pmlw_workflow_tree	2	aicm_user_company_id	uuid	YES
candidate_column	business.vw_aicm_pmlw_workflow_tree	20	requirement_status_code	text	YES
candidate_column	business.vw_aicm_pmlw_workflow_tree	21	aicm_worker_work_unit_id	uuid	YES
candidate_column	business.vw_aicm_pmlw_workflow_tree	22	work_unit_name	text	YES
candidate_column	business.vw_aicm_pmlw_workflow_tree	23	assigned_worker_label	text	YES
candidate_column	business.vw_aicm_pmlw_workflow_tree	24	work_status_code	text	YES
candidate_column	business.vw_aicm_pmlw_workflow_tree	25	review_status_code	text	YES
candidate_column	business.vw_aicm_pmlw_workflow_tree	26	last_updated_at	timestamp with time zone	YES
candidate_column	business.vw_aicm_pmlw_workflow_tree	3	company_name	text	YES
candidate_column	business.vw_aicm_pmlw_workflow_tree	4	aicm_president_policy_id	uuid	YES
candidate_column	business.vw_aicm_pmlw_workflow_tree	5	policy_title	text	YES
candidate_column	business.vw_aicm_pmlw_workflow_tree	6	policy_status_code	text	YES
candidate_column	business.vw_aicm_pmlw_workflow_tree	7	aicm_manager_major_work_item_id	uuid	YES
candidate_column	business.vw_aicm_pmlw_workflow_tree	8	major_item_name	text	YES
candidate_column	business.vw_aicm_pmlw_workflow_tree	9	manager_decomposition_status_code	text	YES
candidate_column	business.vw_aicm_user_company_department_task_ledger_display	1	aicm_user_company_department_task_ledger_id	uuid	YES
candidate_column	business.vw_aicm_user_company_department_task_ledger_display	10	deliverable_name	text	YES
candidate_column	business.vw_aicm_user_company_department_task_ledger_display	11	task_name	text	YES
candidate_column	business.vw_aicm_user_company_department_task_ledger_display	12	work_type_code	text	YES
candidate_column	business.vw_aicm_user_company_department_task_ledger_display	13	responsible_role_code	text	YES
candidate_column	business.vw_aicm_user_company_department_task_ledger_display	14	responsible_robot_label	text	YES
candidate_column	business.vw_aicm_user_company_department_task_ledger_display	15	task_status_code	text	YES
candidate_column	business.vw_aicm_user_company_department_task_ledger_display	16	priority_code	text	YES
candidate_column	business.vw_aicm_user_company_department_task_ledger_display	17	due_date	date	YES
candidate_column	business.vw_aicm_user_company_department_task_ledger_display	18	reference_files_text	text	YES
candidate_column	business.vw_aicm_user_company_department_task_ledger_display	19	supplemental_materials_text	text	YES
candidate_column	business.vw_aicm_user_company_department_task_ledger_display	2	owner_civilization_id	uuid	YES
candidate_column	business.vw_aicm_user_company_department_task_ledger_display	20	applicable_rules_text	text	YES
candidate_column	business.vw_aicm_user_company_department_task_ledger_display	21	note	text	YES
candidate_column	business.vw_aicm_user_company_department_task_ledger_display	22	handoff_link	text	YES
candidate_column	business.vw_aicm_user_company_department_task_ledger_display	23	display_order	integer	YES
candidate_column	business.vw_aicm_user_company_department_task_ledger_display	24	metadata_jsonb	jsonb	YES
candidate_column	business.vw_aicm_user_company_department_task_ledger_display	25	created_at	timestamp with time zone	YES
candidate_column	business.vw_aicm_user_company_department_task_ledger_display	26	updated_at	timestamp with time zone	YES
